2020-06-09-19-36-50	=============== Application Start ==============
2020-06-09-19-36-51	dxl wait start
2020-06-09-19-36-51	dxl wait finish
2020-06-09-19-36-51	dxl wait start
2020-06-09-19-36-51	dxl wait finish
2020-06-09-19-36-51	dxl wait start
2020-06-09-19-36-52	dxl wait finish
2020-06-09-19-36-52	grip wait start
2020-06-09-19-36-54	[offset] x:=14.042000,y:=19.667000,z:=-2.000000
2020-06-09-19-36-54	repicking object : 0
2020-06-09-19-36-54	[offset] x:=15.373000,y:=19.405000,z:=-2.000000
2020-06-09-19-36-54	repicking object : 0
2020-06-09-19-36-55	[offset] x:=16.185000,y:=18.488000,z:=-2.000000
2020-06-09-19-36-55	repicking object : 0
2020-06-09-19-36-56	grip wait finish
2020-06-09-19-36-56	dxl wait start
2020-06-09-19-36-56	[offset] x:=16.790000,y:=18.230000,z:=-3.000000
2020-06-09-19-36-56	repicking object : 0
2020-06-09-19-36-56	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-36-56	repicking object : 0
2020-06-09-19-36-56	dxl wait finish
2020-06-09-19-36-56	dxl wait start
2020-06-09-19-36-57	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-36-57	repicking object : 0
2020-06-09-19-36-57	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-36-57	repicking object : 0
2020-06-09-19-36-57	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-36-57	repicking object : 0
2020-06-09-19-36-58	dxl wait finish
2020-06-09-19-36-58	dxl wait start
2020-06-09-19-36-58	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-36-58	repicking object : 0
2020-06-09-19-36-58	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-36-58	repicking object : 0
2020-06-09-19-36-58	dxl wait finish
2020-06-09-19-36-58	grip wait start
2020-06-09-19-36-58	[offset] x:=0.000000,y:=0.000000,z:=-0.000000
2020-06-09-19-36-58	repicking object : 0
2020-06-09-19-36-59	[offset] x:=13.941000,y:=24.088000,z:=-174.000000
2020-06-09-19-36-59	repicking object : 1
2020-06-09-19-36-59	[offset] x:=14.661000,y:=16.989000,z:=-174.000000
2020-06-09-19-36-59	repicking object : 1
2020-06-09-19-37-00	[offset] x:=17.388000,y:=8.416000,z:=-180.000000
2020-06-09-19-37-00	repicking object : 1
2020-06-09-19-37-01	[offset] x:=16.870000,y:=8.152000,z:=-180.000000
2020-06-09-19-37-01	repicking object : 1
2020-06-09-19-37-01	[offset] x:=16.844000,y:=8.286000,z:=-180.000000
2020-06-09-19-37-01	repicking object : 1
2020-06-09-19-37-02	grip wait finish
2020-06-09-19-37-02	dxl wait start
2020-06-09-19-37-02	[offset] x:=16.862000,y:=8.321000,z:=-180.000000
2020-06-09-19-37-02	repicking object : 1
2020-06-09-19-37-02	[offset] x:=16.947000,y:=8.328000,z:=-180.000000
2020-06-09-19-37-02	repicking object : 1
2020-06-09-19-37-02	dxl wait finish
2020-06-09-19-37-02	dxl wait start
2020-06-09-19-37-02	[offset] x:=16.830000,y:=8.018000,z:=-180.000000
2020-06-09-19-37-02	repicking object : 1
2020-06-09-19-37-03	[offset] x:=16.764000,y:=7.944000,z:=-180.000000
2020-06-09-19-37-03	repicking object : 1
2020-06-09-19-37-03	[offset] x:=16.888000,y:=8.187000,z:=-180.000000
2020-06-09-19-37-03	repicking object : 1
2020-06-09-19-37-03	[offset] x:=16.980000,y:=8.114000,z:=-180.000000
2020-06-09-19-37-03	repicking object : 1
2020-06-09-19-37-03	dxl wait finish
2020-06-09-19-37-03	dxl wait start
2020-06-09-19-37-04	[offset] x:=16.837000,y:=8.008000,z:=-180.000000
2020-06-09-19-37-04	repicking object : 1
2020-06-09-19-37-04	[offset] x:=16.694000,y:=8.022000,z:=-180.000000
2020-06-09-19-37-04	repicking object : 1
2020-06-09-19-37-04	dxl wait finish
2020-06-09-19-37-04	grip wait start
2020-06-09-19-37-04	[offset] x:=17.497000,y:=8.399000,z:=-180.000000
2020-06-09-19-37-04	repicking object : 1
2020-06-09-19-37-05	[offset] x:=16.858000,y:=8.298000,z:=-180.000000
2020-06-09-19-37-05	repicking object : 1
2020-06-09-19-37-06	[offset] x:=16.839000,y:=8.285000,z:=-180.000000
2020-06-09-19-37-06	repicking object : 1
2020-06-09-19-37-06	[offset] x:=16.810000,y:=8.106000,z:=-180.000000
2020-06-09-19-37-06	repicking object : 1
2020-06-09-19-37-07	[offset] x:=17.313000,y:=8.153000,z:=-181.000000
2020-06-09-19-37-07	repicking object : 1
